id130,title,rank,province,alt,modern,description,country,batlas,awmc,dare,darmc,hanson,orbis,PECS,pleiades,topostext,TTPlace,trismegistos,vici,wikidata,wikipedia:en,start,latlon,lon,lat
1,Alexandria,1,Aegyptus,,Iskandariya,"The ancient port city in Egypt's Nile Delta, founded by Alexander the Great in 332/331 BCE.",Egypt,74 B2,139567,15898,11090,110,50017,alexandria-1,727070,312299PAle,367,100,3473,87,Alexandria,-322,"31.201435,29.909773",29.909773,31.201435
2,Antiochia,1,Syria,Theoupolis,Antakya,"A city founded ca. 300 BC by Seleucus I Nicator, a successor of Alexander the Great. Antioch was a great trading center and numbered as one of the four cities of the Syrian tetrapolis.",Türkiye,67 C4,139840,21094,34873,1324,50024,antioch-on-the-orontes,658381,362362PAnt,2374,205,,200441,Antioch,-300,"36.2225515,36.183214",36.183214,36.2225515
3,Carthago,1,Africa Proconsularis,,Tunis,"The ancient city of Carthage, located in modern Tunis (Tunisia). Carthage engaged the Roman state in a series of wars conventionally referred to as the Punic Wars by scholars.",Tunisia,32 F3,142893,15897,15640,172,50107,carthage,314921,369103PCar,60,,2562,6343,Carthage,-49,"36.853056,10.323056",10.323056,36.853056
4,Ephesus,1,Asia,Arsinoe(ia),Selçuk,Ephesus/Arsinoe(ia) was the most important ancient metropolis of Ionian Asia Minor.,Türkiye,61 E2,142895,21155,34634,276,50169,ephesos,599612,379273PEph,2187,648,2278,47611,Ephesus,-292,"37.9407625,27.340307",27.340307,37.9407625
5,Roma,1,Italia,,Rome,The capital of the Roman Republic and Empire.,Italy,43 B2,166015,1438,,992,50327,roma,423025,419125PRom,1203,2058,1692,1747689,Ancient_Rome,-753,"41.891775,12.486137",12.486137,41.891775
6,Corduba,2,Hispania Baetica,Col. Patricia,Córdoba,"Corduba/Col. Patricia (modern Córdoba, Andalusia) is an ancient site where prehistoric, Punic, Roman, Visigothic, and Muslim phases of occupation are known. The city's historic center was inscribed as a UNESCO World Heritage Site in 1984.",Spain,26 F4,140536,12782,30196,336,50131,corduba,256128,379000UCor,,,3637,2997165,,-152,"37.884683,-4.779171",-4.779171,37.884683
7,Corinthus,2,Achaia,Korinthos,Archaia Korinthos,"The ancient Greek and Roman city of Corinth, located in the Peloponnese, Greece. Also known today as Archaia Korinthos and not to be confused with the nearby modern town.",Greece,58 D2,138733,17070,34613,26,50549,corinth-1,570182,379229PKor,1893,1163,2127,1363688,Ancient_Corinth,-44,"37.9063291644,22.8808413925",22.8808413925,37.9063291644
8,Lugdunum,2,Gallia Lugdunensis,Col. Lugdunum,Lyon,"Lugdunum (modern Lyon in France) was a Roman military colony from 43 B.C. and a major center in Gaul. Marcus Agrippa was involved in its expansion and two Roman emperors, Claudius and Caracalla, were born there.",France,17 D2,138361,105,11549,620,50429,lugdunum,167717,458048ULug,730,3272,2662,665,,-43,"45.758866,4.8194815",4.8194815,45.758866
9,Tarraco,2,Hispania Tarraconensis,Col. Tarraco,Tarragona,An Iberian site in contact with Greek and Phoenician merchants that became a major Roman center from the third century BC onward.,Spain,25 G4,155062,6535,30183,731,50379,tarraco,246349,411013UTar,,3371,3532,1501940,Tarraco,-218,"41.116892,1.2583375",1.2583375,41.116892
10,Thessalonica,2,Macedonia,,Thessaloniki,A city of northern Greece founded by Cassander of Macedon ca. 315 BC; important center of the Roman and Late Antique worlds.,Greece,50 C3,150826,17068,34552,1162,50389,thessalonike,491741,406229PThs,1836,2394,2102,2246013,Thessaloniki,-316,"40.628342,22.952885",22.952885,40.628342
11,Aelia Capitolina,3,Iudaea,"Ierusalem, Hierosolyma, Col. Aelia Capitolina",Jerusalem,The city of Jerusalem.,Israel,70 G2,141442,15896,28044,1349,50213,aelia-capitolina,687928,318352PJer,438,853,2479,1250874,Aelia_Capitolina,-40,"31.776679,35.234156",35.234156,31.776679
12,Athenae,3,Achaia,,Athens,A major Greek city-state and the principal city of Attika. Modern Athens in Greece.,Greece,59 B3,156937,10975,34574,14,50050,athens,579885,380237PAth,1890,364,2124,844930,Athens,-900,"37.972453603,23.726268222",23.726268222,37.972453603
13,Byzantium,3,Thracia,,Istanbul,"An ancient Greek settlement at the southern end of the Bosphorus where modern-day Istanbul, Turkey now stands.",Türkiye,53 A2,148743,5472,34604,1375,50129,byzantium,520985,410290UByz,2082,,2232,23725,Walls_of_Constantinople,-650,"41.005902,28.9738815",28.9738815,41.005902
14,Leptis Magna,3,Africa Proconsularis,"Neapolis, Lepcis Magna",Lebda,"Originally a Phoenician colony founded ca. 1100 B.C., Lepcis Magna became a prominent Roman city and birthplace of the emperor Septimius Severus.",Libya,35 G2,137013,21127,23459,180,50230,leptis-magna,344448,326143ULep,300,,2448,191504,Leptis_Magna,-30,"32.6379575,14.291378",14.291378,32.6379575
15,Mediolanum,3,Italia,Mediolan(i)um,Milan,"A Celtic settlement and crossroads, later a Western Roman capital. Now modern Milan, Italy.",Italy,39 E3,138731,1445,11704,1072,50251,mediolanum-2,383706,455092UMed,1048,,1589,729978,,-89,"45.463746,9.18806",9.18806,45.463746
